gtin;id;title;description;google_product_category;product_type;link;image_link;condition;brand;mpn;identifier_exists;shipping_weight;gender;age_group;size;color;item_group_id;material;pattern
4043898018296;10;Stetson Leder Cap Basecap Ikpek Antique Brown Braun;Leder Basecap von Stetson in 'Heavy used' Optik von Stetson Klassisches 6 Felder Basecap von Stetson Nur die vorderen beiden Felder sind innen mit leichtem Baumwollvlies bedeckt Aus hochwertig verarbeitetem Leder Metalleingefaßt Luftlöcher Schirm / Visor sehr stark vorgebogen Ganzjährig tragbar Einheitsgröße hinten offen Das Cap hat innen ein breites Stoffschweissband Mit Lederband und Metallschließe größenverstellbar;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Stetson;7717102 060;TRUE;300 g;male;adult;Einheitsgröße;Braun;;Leder;
4043898018319;11;Stetson Leder Cap Basecap Liberty Distressed Braun;Hochwertiges weiches Leder Baseball Cap von Stetson Sehr gut vorgebogener Schirm / Visor Metallgefaßte Luftlöcher an den Seiten Kein Innenfutter Einheitsgrösse mit Grundgrösse 58cm Kopfumfang Größenverstellbar mit Metallschließe von ca. 57-60cm Kopfumfang 100% Leder ;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Stetson;7717104 006;TRUE;300 g;male;adult;Einheitsgröße - verstellbar;Braun;;Leder;
4043898014355;12;Gürtel Rock Solids Seatbelt Schwarz;Ausgefallener Gürtel aus einem Original Auto Sitzgurt Der ganz besondere Gürtel Gemacht aus einem Original Auto Gurt Mit Original Schnalle Größeneinstellung über Schiebeschnalle => So hat man keinen losen Gürtelenden rumwedeln Einheitsgröße - max 110cm;Bekleidung & Accessoires > Bekleidungsaccessoires > Gürtel;Gürtel bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;No Name;206000002116;TRUE;200 g;unisex;adult;Einheitsgröße für Gürtel;Schwarz;;;
4043898564359;13;Brixton Cap Mütze Fiddler Elbsegler Cotton;Schwarze, dem beliebten Elbsegler nachempfundene Mütze von Brixton Klassische Kapitäns oder Fischermann Mütze von Brixton Der Schnitt des Caps ist dem in Deutschland beliebten Elbsegler nachempfunden Der Schirm / Visor des Caps ist vorgebogen Vorne mit schwarzer Kordel Der Rand ist leicht verstärkt Stoff in Herringbone / Fischgrät Muster gewebt Innen mit Extra Futter Aussen 100% Baumwolle Beachten Sie bitte die abweichenden Größen bei Brixton Small = 56cm Kopfumfang Medium = 58cm Kopfumfang Large = 60cm Kopfumfang X-Large = 62cm Kopfumfang;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Weitere Mützenformen bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Brixton;BRICAFIDBLTW;TRUE;200 g;male;adult;;Schwarz;;Baumwolle;
4043898654353;14;Robin Ruth Baseball Cap Germany Max Vintage;Cooles Basecap Max Cap von Robin Ruth Germany Applikation aus Teddyplüsch Im angesagten Used Look - der Schirm hat ein großes und ein kleines Loch, das einen Stoff in Kontrastfarbe freigibt Vorgebogener Schirm / Visor Leicht gepolstertes Innenband mit Robin Ruth Logoschriftzug Farben: Beige, Grün und Grau Material: 100% Baumwolle Maße (ungefähr): Grundumfang: 56 cm - Größe verstellbar Schirm: 17,5 cm x 7 cm Höhe: 12 cm;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Baseball Caps bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Robin Ruth;Max-CG148;TRUE;200 g;unisex;adult;Einheitsgröße;;;Baumwolle;
4053498018319;15;Kangol Wool 504 Cap Schiebermütze Flatcap;Attraktives Flatcap 504 in verschiedenen Farben von Kangol Der Klassiker unter den Flatcaps Breiter, beinahe runder Schnitt Dynamische Wirkung durch die besonders flache Form Schirm schaut frech unterm Cap hervor Mit silbergrauem Kangol Sticklogo auf der Rückseite Weiches, dehnbares Innenband für angenehmen Tragekomfort Material: 100% Schurwolle Maße (ungefähr): Höhe (Hinterkopf): 10cm Größen: S: 57cm M: 58,5cm L: 60cm XL: 61,5 cm XXL: 63cm ;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Schiebermützen bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Kangol;0258BC;TRUE;200 g;unisex;adult;;;;Wolle;
4045438018319;16;Flexfit Flex Cap Basecap Fullcap Pinstripe;Original Flexfit Fullcap im Nadelstreifen Look Klassisches 6 Panel Flex Cap von Flexfit Frontpanels sind verstärkt Eleganter Nadelstreifen Look (Pinstripe) Hinten geschlossen = Fullcap Vorgebogener Schirm / Visor Der patentierte Flexfiteinsatz sorgt für besten Sitz 97% Polyester 3% Spandex Leicht glänzende Satinoptik Farben: Blau, Grau, Braun, Schwarz, Weiss Grössen: ?S/M für ca. 56-58cm Kopfumfang L/XL für ca. 59-61cm Kopfumfang;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Kappen > Baseballmützen;Flex Caps;www.fake_link.de;www.fake_url.de;new;Flexfit;;FALSE;200 g;unisex;adult;;;;Polyester-Mix;
4043864565676;17;Bandana Hanky Code Tuch Halstuch;Bandana Tücher aus Baumwolle mit klassischem Druck in vielen Farben Bandana Tuch für den Kopf oder Hals Auch als Hanky Code benutzbar Bedruckt mit klassischem Muster 100% Baumwolle Maße: ca. 54x54cm Original Hav-A-Hank Produktion made in USA Bitte beachten Sie: Neben der abgebildeten Farbe haben Sie die Auswahl aus 25 weiteren Farben sowie etlichen anderen Mustern.Wir bestellen gerne kurzfristig für Sie. ;Bekleidung & Accessoires > Bekleidungsaccessoires > Bandanas & Stofftücher;Bandanas bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Hav-A-Hank;;FALSE;50 g;unisex;adult;;;;Baumwolle;
4354353518319;18;Stetson Army Cap Mütze Datto;Stylisches Armycap Datto von Stetson in mehreren Farben In cooler Vintageleder Optik Grobe Nähte mit auffälligen Einstichlöchern unterstreichen das Design im Used Look Mit Sun Guard Ausrüstung LSF 40+ zum Schutz gegen die Sonne Besonders flacher Schnitt Stetson Logostick auf der linken Seite vorn Nieten innen mit metallischem Netz Vorgebogener Schirm / Visor - kann bei Belieben nachgebogen werden Lässt sich hinten mit Gurt in der Größe verstellen Innen mit weichem Band für erhöhten Tragekomfort Material: 50% Baumwolle, 50% Polyester Maße (ungefähr): Höhe: 7 cm Schirm: 18 cm x 6 cm cm;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Mützen;Army Caps bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Stetson;7491102;TRUE;200 g;male;adult;;;;Baumwoll-Mix;
4043435438567;19;Levis Strohhut City Hut Flexible;Lässiger Strohhut Flexible in Natur von Levis Ob City, Strand oder beides - mit diesem Style sind Sie bald in aller Munde Die eingearbeiteten Kunstfasern sorgen für extra Halt und glänzen gleichzeitig elegant in der Sonne Mit klassisches Garnitur in Rot, Blau und Off White Links auf der Garnitur mit metallenem Levis Logotag Lässt sich knautschen, ohne, dass der Hut seine Form verlieren würde Weiches Innenband Material: 100% Papierstroh Maße (ungefähr): Umfang: 56,5 cm (S), 57,5 cm (M), 59,5 cm (L) Höhe: 11 cm Krempe: 4,5 cm Garnitur: 4 cm;Bekleidung & Accessoires > Bekleidungsaccessoires > Hüte > Sonnenhüte;Strohhüte bei CAPS AND SOX;www.fake_link.de;www.fake_url.de;new;Levis;221702-015;TRUE;300 g;unisex;adult;;Natur;;Papier;
